price,type=BTC close=968.29,high=968.29,low=968.29,open=968.29,volume=0 1483228740000000000
price,type=BTC close=968.7,high=968.76,low=968.49,open=968.29,volume=12993 1483228800000000000
price,type=BTC close=968.43,high=968.7,low=967.2,open=968.7,volume=73800 1483228860000000000
price,type=BTC close=967.21,high=968.0,low=967.21,open=968.43,volume=3500 1483228920000000000
price,type=BTC close=966.97,high=967.21,low=966.74,open=967.21,volume=15969 1483228980000000000
price,type=BTC close=966.97,high=966.97,low=966.97,open=966.97,volume=300 1483229040000000000
price,type=BTC close=967.0,high=967.0,low=967.0,open=966.97,volume=13231 1483229100000000000
price,type=BTC close=966.89,high=966.89,low=966.89,open=967.0,volume=500 1483229160000000000
price,type=BTC close=966.89,high=966.89,low=966.89,open=966.89,volume=0 1483229220000000000
price,type=BTC close=966.89,high=966.89,low=966.89,open=966.89,volume=0 1483229280000000000
price,type=BTC close=966.89,high=966.89,low=966.89,open=966.89,volume=0 1483229340000000000
price,type=BTC close=966.89,high=966.89,low=966.89,open=966.89,volume=0 1483229400000000000
price,type=BTC close=966.05,high=966.64,low=966.05,open=966.89,volume=12900 1483229460000000000
price,type=BTC close=965.0,high=965.86,low=964.99,open=966.05,volume=103237 1483229520000000000
price,type=BTC close=965.0,high=965.0,low=965.0,open=965.0,volume=0 1483229580000000000
price,type=BTC close=964.86,high=964.86,low=964.86,open=965.0,volume=8000 1483229640000000000
price,type=BTC close=964.86,high=964.86,low=964.86,open=964.86,volume=0 1483229700000000000
price,type=BTC close=964.99,high=964.99,low=964.99,open=964.86,volume=3000 1483229760000000000
price,type=BTC close=964.8,high=964.8,low=964.8,open=964.99,volume=1 1483229820000000000
price,type=BTC close=964.8,high=964.8,low=964.8,open=964.8,volume=0 1483229880000000000
price,type=BTC close=964.8,high=964.8,low=964.8,open=964.8,volume=0 1483229940000000000
price,type=BTC close=964.8,high=964.8,low=964.8,open=964.8,volume=0 1483230000000000000
price,type=BTC close=964.8,high=964.8,low=964.8,open=964.8,volume=0 1483230060000000000
price,type=BTC close=964.8,high=964.8,low=964.8,open=964.8,volume=0 1483230120000000000
price,type=BTC close=964.8,high=964.8,low=964.8,open=964.8,volume=0 1483230180000000000
price,type=BTC close=964.8,high=964.8,low=964.8,open=964.8,volume=0 1483230240000000000
price,type=BTC close=964.8,high=964.8,low=964.8,open=964.8,volume=0 1483230300000000000
price,type=BTC close=965.08,high=965.09,low=965.08,open=964.8,volume=5000 1483230360000000000
